,dataset,features version,pipeline,name,adjusted_r2,r2,mae,mape,time,params
0,ShorterThan1.2Kms,prev,single step,KNeighborsRegressor(),0.68709192,0.68781228,85.73273165,35.83419815,27.6002339,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,prev,single step,DecisionTreeRegressor(random_state=5),0.65344271,0.65424053,93.2542967,40.21942812,0.007856700002,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,prev,single step,MLPRegressor(random_state=5),0.64787061,0.64868126,97.91346227,44.03317614,0.1728131,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,prev,two steps,KNeighborsRegressor(),0.76267204,0.76347163,77.15945848,32.25077833,28.3890505,"{'n_neighbors': 15, 'weights': 'distance'}"
1,ShorterThan1.2Kms,prev,two steps,DecisionTreeRegressor(random_state=5),0.72532141,0.72620699,83.92886703,36.19748531,0.008387399997,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,prev,two steps,MLPRegressor(random_state=5),0.71913637,0.72003619,88.12211604,39.62985852,0.1327288,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,prev,two steps clf,KNeighborsRegressor(),0.73518836,0.73595914,81.44609507,34.04248824,26.596383,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.6991837,0.70003737,88.59158187,38.20845671,0.0095325,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,prev,two steps clf,MLPRegressor(random_state=5),0.69322155,0.69408894,93.01778915,41.83151733,0.1565099,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count,single step,KNeighborsRegressor(),0.72144652,0.72220289,80.58876775,33.68414626,26.5586475,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count,single step,DecisionTreeRegressor(random_state=5),0.68611485,0.68695256,87.6590389,37.80626243,0.007928699997,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count,single step,MLPRegressor(random_state=5),0.68026414,0.68111532,92.03865453,41.39118557,0.166072,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count,two steps,KNeighborsRegressor(),0.80080564,0.80164521,72.52989097,30.31573163,27.11227,"{'n_neighbors': 15, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.76158748,0.76251734,78.89313501,34.02563619,0.007778900006,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count,two steps,MLPRegressor(random_state=5),0.75509319,0.756038,82.83478908,37.25206701,0.1946198,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count,two steps clf,KNeighborsRegressor(),0.77194778,0.7727571,76.55932936,31.99993895,26.8469308,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.73414289,0.73503924,83.27608696,35.91594931,0.009679500014,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count,two steps clf,MLPRegressor(random_state=5),0.72788263,0.72879339,87.4367218,39.32162629,0.165812,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,split inputs,single step,KNeighborsRegressor(),0.73587545,0.73664695,78.97699239,33.01046333,23.7060705,"{'n_neighbors': 20, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,split inputs,single step,DecisionTreeRegressor(random_state=5),0.69983714,0.70069161,85.90585812,37.05013718,0.0114399,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,split inputs,single step,MLPRegressor(random_state=5),0.69386942,0.69473762,90.19788144,40.56336186,0.2434855,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 50)}"
0,ShorterThan1.2Kms,split inputs,two steps,KNeighborsRegressor(),0.81682175,0.81767812,71.07929315,29.709417,24.1726588,"{'n_neighbors': 10, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,split inputs,two steps,DecisionTreeRegressor(random_state=5),0.77681923,0.77776769,77.31527231,33.34512347,0.009971699998,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,split inputs,two steps,MLPRegressor(random_state=5),0.77019506,0.77115876,81.1780933,36.50702567,0.1950446,"{'activation': 'logistic', 'hidden_layer_sizes': (100,)}"
0,ShorterThan1.2Kms,split inputs,two steps clf,KNeighborsRegressor(),0.78738673,0.78821224,75.02814277,31.35994017,24.2287279,"{'n_neighbors': 10, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,split inputs,two steps clf,DecisionTreeRegressor(random_state=5),0.74882574,0.74974002,81.61056522,35.19763033,0.01264839998,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,split inputs,two steps clf,MLPRegressor(random_state=5),0.74244028,0.74336926,85.68798737,38.53519376,0.2685049,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 50)}"
0,ShorterThan1.2Kms,inputs count + split args,single step,KNeighborsRegressor(),0.76531047,0.76611283,75.02814277,31.35994017,27.0730761,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count + split args,single step,DecisionTreeRegressor(random_state=5),0.72783063,0.72871927,81.61056522,35.19763033,0.01127250001,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count + split args,single step,MLPRegressor(random_state=5),0.7216242,0.72252713,85.68798737,38.53519376,0.1616888,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count + split args,two steps,KNeighborsRegressor(),0.84949462,0.85038524,67.5253285,28.22394615,28.0339598,"{'n_neighbors': 15, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count + split args,two steps,DecisionTreeRegressor(random_state=5),0.807892,0.8088784,73.4495087,31.67786729,0.01076999999,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count + split args,two steps,MLPRegressor(random_state=5),0.80100286,0.80200511,77.11918863,34.68167439,0.1380581,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count + split args,two steps clf,KNeighborsRegressor(),0.8188822,0.81974073,71.27673564,29.79194316,27.3256938,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count + split args,two steps clf,DecisionTreeRegressor(random_state=5),0.77877877,0.77972962,77.53003696,33.43774881,0.01264490001,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count + split args,two steps clf,MLPRegressor(random_state=5),0.77213789,0.77310403,81.403588,36.60843408,0.1252265,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,split inputs and args,single step,KNeighborsRegressor(),0.78061668,0.78143509,73.52757992,30.73274136,26.9834974,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,split inputs and args,single step,DecisionTreeRegressor(random_state=5),0.74238724,0.74329366,79.97835391,34.49367772,0.01410980002,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,split inputs and args,single step,MLPRegressor(random_state=5),0.73605668,0.73697767,83.97422762,37.76448989,0.197664,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,split inputs and args,two steps,KNeighborsRegressor(),0.86648451,0.86739295,66.17482193,27.65946723,28.5668902,"{'n_neighbors': 15, 'weights': 'distance'}"
1,ShorterThan1.2Kms,split inputs and args,two steps,DecisionTreeRegressor(random_state=5),0.82404984,0.82505596,71.98051852,31.04430995,0.01732649998,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,split inputs and args,two steps,MLPRegressor(random_state=5),0.81702292,0.81804522,75.57680486,33.9880409,0.1776388,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,split inputs and args,two steps clf,KNeighborsRegressor(),0.83525985,0.83613554,69.85120092,29.1961043,27.8114857,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,split inputs and args,two steps clf,DecisionTreeRegressor(random_state=5),0.79435435,0.79532422,75.97943622,32.76899383,0.0171653,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,split inputs and args,two steps clf,MLPRegressor(random_state=5),0.78758065,0.78856611,79.77551624,35.87626539,0.167947,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,prev,single step,KNeighborsRegressor(),0.81051969,0.81371347,2195.32654344,22.40369206,0.7491063,"{'n_neighbors': 10, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,prev,single step,DecisionTreeRegressor(random_state=5),0.74803855,0.75228548,2542.39038962,25.99281571,0.002626500005,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,prev,single step,MLPRegressor(random_state=5),0.68926638,0.69450395,2935.4987015,32.26565789,0.007024800027,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,prev,two steps,KNeighborsRegressor(),0.89967686,0.90322196,1975.7938891,20.16332285,0.8148954,"{'n_neighbors': 5, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,prev,two steps,DecisionTreeRegressor(random_state=5),0.83032279,0.83503689,2288.15135066,23.39353414,0.003133899998,"{'criterion': 'mae', 'max_depth': 10}"
2,Between2KmsAnd25Kms,prev,two steps,MLPRegressor(random_state=5),0.76508569,0.77089938,2641.94883135,29.0390921,0.007029900007,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,prev,two steps clf,KNeighborsRegressor(),0.86725607,0.87067342,2085.56021627,21.28350745,0.8514923,"{'n_neighbors': 15, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.80040125,0.80494547,2415.27087014,24.69317492,0.003437999985,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,prev,two steps clf,MLPRegressor(random_state=5),0.73751503,0.74311923,2788.72376643,30.65237499,0.01003159999,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,inputs count,single step,KNeighborsRegressor(),0.85104568,0.85439915,2063.60695083,21.05947053,0.7487252,"{'n_neighbors': 10, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,inputs count,single step,DecisionTreeRegressor(random_state=5),0.78544048,0.78989976,2389.84696624,24.43324677,0.002535800013,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,inputs count,single step,MLPRegressor(random_state=5),0.7237297,0.72922915,2759.36877941,30.32971841,0.009634899994,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,inputs count,two steps,KNeighborsRegressor(),0.9446607,0.94838305,1857.24625575,18.95352348,0.7693995,"{'n_neighbors': 5, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.87183893,0.87678873,2150.86226962,21.98992209,0.002909200004,"{'criterion': 'mae', 'max_depth': 10}"
2,Between2KmsAnd25Kms,inputs count,two steps,MLPRegressor(random_state=5),0.80333997,0.80944435,2483.43190147,27.29674657,0.008225800004,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,inputs count,two steps clf,KNeighborsRegressor(),0.91061887,0.91420709,1960.42660329,20.00649701,0.7586609,"{'n_neighbors': 15, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.84042131,0.84519274,2270.35461793,23.21158443,0.003371400002,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,inputs count,two steps clf,MLPRegressor(random_state=5),0.77439078,0.78027519,2621.40034044,28.81323249,0.007504300011,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,split inputs,single step,KNeighborsRegressor(),0.86806659,0.87148713,2022.33481182,20.63828112,0.8051103,"{'n_neighbors': 20, 'weights': 'uniform'}"
1,Between2KmsAnd25Kms,split inputs,single step,DecisionTreeRegressor(random_state=5),0.80114929,0.80569775,2342.05002692,23.94458183,0.0037954,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,split inputs,single step,MLPRegressor(random_state=5),0.7382043,0.74381373,2704.18140382,29.72312404,0.02612620001,"{'activation': 'logistic', 'hidden_layer_sizes': (100,)}"
0,Between2KmsAnd25Kms,split inputs,two steps,KNeighborsRegressor(),0.96355391,0.96735071,1820.10133063,18.57445301,0.7711459,"{'n_neighbors': 25, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,split inputs,two steps,DecisionTreeRegressor(random_state=5),0.88927571,0.8943245,2107.84502423,21.55012365,0.004115399992,"{'criterion': 'mae', 'max_depth': 10}"
2,Between2KmsAnd25Kms,split inputs,two steps,MLPRegressor(random_state=5),0.81940677,0.82563324,2433.76326344,26.75081164,0.02936429999,"{'activation': 'logistic', 'hidden_layer_sizes': (100,)}"
0,Between2KmsAnd25Kms,split inputs,two steps clf,KNeighborsRegressor(),0.92883125,0.93249123,1921.21807123,19.60636707,0.8125899,"{'n_neighbors': 5, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,split inputs,two steps clf,DecisionTreeRegressor(random_state=5),0.85722974,0.86209659,2224.94752557,22.74735274,0.0037801,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,split inputs,two steps clf,MLPRegressor(random_state=5),0.7898786,0.79588069,2568.97233363,28.23696784,0.02172260001,"{'activation': 'logistic', 'hidden_layer_sizes': (100,)}"
0,Between2KmsAnd25Kms,inputs count + split args,single step,KNeighborsRegressor(),0.91146992,0.91506149,1900.99472311,19.39998426,0.7934663,"{'n_neighbors': 10, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,inputs count + split args,single step,DecisionTreeRegressor(random_state=5),0.84120675,0.84598264,2201.5270253,22.50790692,0.003944399999,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,inputs count + split args,single step,MLPRegressor(random_state=5),0.77511451,0.78100442,2541.93051959,27.9397366,0.007762199995,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,inputs count + split args,two steps,KNeighborsRegressor(),0.93881402,0.94251333,1843.96488141,18.81798473,0.8355556,"{'n_neighbors': 5, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,inputs count + split args,two steps,DecisionTreeRegressor(random_state=5),0.93373949,0.93904073,1981.37432277,20.25711623,0.003589100001,"{'criterion': 'mae', 'max_depth': 10}"
2,Between2KmsAnd25Kms,inputs count + split args,two steps,MLPRegressor(random_state=5),0.86037711,0.8669149,2287.73746763,25.14576294,0.006988000008,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,inputs count + split args,two steps clf,KNeighborsRegressor(),0.97527281,0.97911579,1805.94498695,18.42998504,0.767638,"{'n_neighbors': 15, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,inputs count + split args,two steps clf,DecisionTreeRegressor(random_state=5),0.90009122,0.90520142,2091.45067404,21.38251158,0.003978299996,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,inputs count + split args,two steps clf,MLPRegressor(random_state=5),0.82937253,0.83567472,2414.83399361,26.54274977,0.0083629,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,split inputs and args,single step,KNeighborsRegressor(),0.92969932,0.93336272,1862.97482864,19.01198457,0.7890891,"{'n_neighbors': 20, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,split inputs and args,single step,DecisionTreeRegressor(random_state=5),0.85803089,0.86290229,2157.4964848,22.05774878,0.0042006,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,split inputs and args,single step,MLPRegressor(random_state=5),0.7906168,0.7966245,2491.0919092,27.38094187,0.009022399987,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,split inputs and args,two steps,KNeighborsRegressor(),0.9482933,0.95202997,1825.71533207,18.63174488,0.837991,"{'n_neighbors': 10, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,split inputs and args,two steps,DecisionTreeRegressor(random_state=5),0.95241428,0.95782154,1941.74683632,19.85197391,0.004589000018,"{'criterion': 'mse', 'max_depth': 10}"
2,Between2KmsAnd25Kms,split inputs and args,two steps,MLPRegressor(random_state=5),0.87758465,0.8842532,2241.98271828,24.64284768,0.01079900001,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,Between2KmsAnd25Kms,split inputs and args,two steps clf,KNeighborsRegressor(),0.99477827,0.99869811,1769.82608721,18.06138534,0.8270436,"{'n_neighbors': 15, 'weights': 'distance'}"
1,Between2KmsAnd25Kms,split inputs and args,two steps clf,DecisionTreeRegressor(random_state=5),0.91809305,0.92330545,2049.62166056,20.95486134,0.005223199987,"{'criterion': 'mae', 'max_depth': 10}"
2,Between2KmsAnd25Kms,split inputs and args,two steps clf,MLPRegressor(random_state=5),0.84595998,0.85238822,2366.53731374,26.01189478,0.01351600001,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"